"status","url","redirect"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-KS-T0-June2015-RD-T5&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-KS-T0-June2015-RD-T5&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10304&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10304&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-AL-T0-June2015-RD-IB&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-AL-T0-June2015-RD-IB&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10324&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10324&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-IA-T0-June2015-RD-T5&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-IA-T0-June2015-RD-T5&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10346&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10346&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-UT-T0-June2015-RD-IB&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-UT-T0-June2015-RD-IB&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10302&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10302&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=MC-A-D-GM-MS-T0-June2015-RD-T5&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=MC-A-D-GM-MS-T0-June2015-RD-T5&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-WA-T0-June2015-RD-T5&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-WA-T0-June2015-RD-T5&EMHID=&test=22658"
